#     it    Ltra    Lval
   246   0.0547   0.0945
   247   0.0547   0.0944
   248   0.0547   0.0942
   249   0.0547   0.0941
   250   0.0547   0.0941
   251   0.0547   0.0941
   252   0.0547   0.0943
   253   0.0547   0.0943
   254   0.0547   0.0945
   255   0.0546   0.0946
   256   0.0546   0.0946
   257   0.0546   0.0946
   258   0.0546   0.0945
   259   0.0546   0.0944
   260   0.0546   0.0945
   261   0.0546   0.0945
   262   0.0546   0.0945
   263   0.0546   0.0946
   264   0.0546   0.0946
   265   0.0546   0.0945
   266   0.0546   0.0944
   267   0.0546   0.0943
   268   0.0546   0.0942
   269   0.0546   0.0941
   270   0.0546   0.0940
   271   0.0546   0.0940
   272   0.0546   0.0941
   273   0.0546   0.0942
   274   0.0546   0.0944
   275   0.0546   0.0944
   276   0.0546   0.0944
   277   0.0546   0.0943
   278   0.0546   0.0942
   279   0.0546   0.0942
   280   0.0545   0.0941
   281   0.0545   0.0941
   282   0.0545   0.0942
   283   0.0545   0.0942
   284   0.0545   0.0943
   285   0.0545   0.0943
   286   0.0545   0.0944
   287   0.0545   0.0944
   288   0.0545   0.0944
   289   0.0545   0.0944
   290   0.0545   0.0944
   291   0.0545   0.0943
   292   0.0545   0.0944
   293   0.0545   0.0944
   294   0.0545   0.0944
   295   0.0545   0.0943
   296   0.0545   0.0944
   297   0.0545   0.0943
   298   0.0545   0.0942
   299   0.0545   0.0942
   300   0.0545   0.0942
   301   0.0545   0.0943
   302   0.0545   0.0945
   303   0.0545   0.0945
   304   0.0545   0.0945
   305   0.0545   0.0946
   306   0.0545   0.0945
   307   0.0545   0.0945
   308   0.0545   0.0944
   309   0.0545   0.0944
   310   0.0545   0.0944
   311   0.0545   0.0945
   312   0.0545   0.0945
   313   0.0545   0.0945
   314   0.0545   0.0944
   315   0.0545   0.0944
   316   0.0545   0.0944
   317   0.0545   0.0943
   318   0.0545   0.0943
   319   0.0545   0.0943
   320   0.0545   0.0944
   321   0.0545   0.0944
   322   0.0545   0.0945
   323   0.0545   0.0945
   324   0.0545   0.0945
   325   0.0545   0.0945
   326   0.0545   0.0945
   327   0.0545   0.0945
   328   0.0545   0.0944
   329   0.0545   0.0945
   330   0.0545   0.0945
   331   0.0545   0.0945
   332   0.0545   0.0945
   333   0.0545   0.0945
   334   0.0545   0.0945
   335   0.0545   0.0945
   336   0.0545   0.0944
   337   0.0545   0.0944
   338   0.0545   0.0944
   339   0.0545   0.0944
   340   0.0545   0.0944
   341   0.0545   0.0945
   342   0.0545   0.0945
   343   0.0545   0.0946
   344   0.0545   0.0946
   345   0.0545   0.0946
   346   0.0545   0.0946
   347   0.0545   0.0946
   348   0.0545   0.0947
