#     it    Ltra    Lval
   246   0.0548   0.0945
   247   0.0548   0.0945
   248   0.0548   0.0946
   249   0.0548   0.0945
   250   0.0548   0.0946
   251   0.0548   0.0946
   252   0.0547   0.0946
   253   0.0547   0.0946
   254   0.0547   0.0947
   255   0.0547   0.0946
   256   0.0547   0.0945
   257   0.0547   0.0942
   258   0.0547   0.0943
   259   0.0547   0.0941
   260   0.0547   0.0940
   261   0.0547   0.0940
   262   0.0547   0.0941
   263   0.0547   0.0941
   264   0.0547   0.0942
   265   0.0547   0.0943
   266   0.0547   0.0943
   267   0.0547   0.0941
   268   0.0546   0.0941
   269   0.0546   0.0941
   270   0.0546   0.0940
   271   0.0546   0.0940
   272   0.0546   0.0940
   273   0.0546   0.0939
   274   0.0546   0.0939
   275   0.0546   0.0938
   276   0.0546   0.0939
   277   0.0546   0.0939
   278   0.0546   0.0939
   279   0.0546   0.0938
   280   0.0546   0.0938
   281   0.0546   0.0938
   282   0.0546   0.0938
   283   0.0546   0.0938
   284   0.0546   0.0938
   285   0.0546   0.0940
   286   0.0546   0.0941
   287   0.0546   0.0941
   288   0.0546   0.0939
   289   0.0546   0.0938
   290   0.0546   0.0937
   291   0.0546   0.0937
   292   0.0546   0.0936
   293   0.0546   0.0936
   294   0.0546   0.0937
   295   0.0545   0.0939
   296   0.0545   0.0938
   297   0.0545   0.0938
   298   0.0545   0.0937
   299   0.0545   0.0936
   300   0.0545   0.0938
   301   0.0545   0.0937
   302   0.0545   0.0937
   303   0.0545   0.0938
   304   0.0545   0.0937
   305   0.0545   0.0938
   306   0.0545   0.0938
   307   0.0545   0.0937
   308   0.0545   0.0937
   309   0.0545   0.0937
   310   0.0545   0.0939
   311   0.0545   0.0940
   312   0.0545   0.0939
   313   0.0545   0.0940
   314   0.0545   0.0940
   315   0.0545   0.0940
   316   0.0545   0.0940
   317   0.0545   0.0941
   318   0.0545   0.0941
   319   0.0545   0.0943
   320   0.0545   0.0943
   321   0.0545   0.0943
   322   0.0545   0.0943
   323   0.0545   0.0943
   324   0.0545   0.0942
   325   0.0545   0.0942
   326   0.0545   0.0943
   327   0.0545   0.0943
   328   0.0545   0.0943
   329   0.0545   0.0943
   330   0.0545   0.0942
   331   0.0545   0.0943
   332   0.0545   0.0942
   333   0.0545   0.0942
   334   0.0545   0.0942
   335   0.0545   0.0942
   336   0.0545   0.0942
   337   0.0545   0.0942
   338   0.0545   0.0942
   339   0.0545   0.0942
   340   0.0545   0.0942
   341   0.0545   0.0942
   342   0.0545   0.0942
   343   0.0545   0.0943
   344   0.0545   0.0943
   345   0.0545   0.0943
   346   0.0545   0.0944
   347   0.0545   0.0944
   348   0.0545   0.0944
   349   0.0545   0.0945
   350   0.0545   0.0945
   351   0.0545   0.0945
   352   0.0545   0.0945
   353   0.0545   0.0945
   354   0.0545   0.0945
   355   0.0545   0.0945
   356   0.0545   0.0945
   357   0.0545   0.0946
   358   0.0545   0.0946
   359   0.0545   0.0947
   360   0.0545   0.0947
   361   0.0545   0.0947
   362   0.0545   0.0947
   363   0.0545   0.0947
   364   0.0545   0.0948
   365   0.0545   0.0948
   366   0.0545   0.0949
   367   0.0545   0.0949
   368   0.0545   0.0950
   369   0.0545   0.0951
   370   0.0545   0.0950
   371   0.0544   0.0950
   372   0.0544   0.0950
   373   0.0544   0.0951
   374   0.0544   0.0951
   375   0.0544   0.0951
   376   0.0544   0.0951
   377   0.0544   0.0952
   378   0.0544   0.0952
   379   0.0544   0.0952
   380   0.0544   0.0952
   381   0.0544   0.0951
   382   0.0544   0.0951
   383   0.0544   0.0951
   384   0.0544   0.0952
   385   0.0544   0.0952
   386   0.0544   0.0952
   387   0.0544   0.0952
   388   0.0544   0.0952
   389   0.0544   0.0952
   390   0.0544   0.0952
   391   0.0544   0.0952
   392   0.0544   0.0952
   393   0.0544   0.0952
   394   0.0544   0.0952
   395   0.0544   0.0952
   396   0.0544   0.0952
   397   0.0544   0.0952
   398   0.0544   0.0952
   399   0.0544   0.0951
   400   0.0544   0.0951
   401   0.0544   0.0951
   402   0.0544   0.0950
   403   0.0544   0.0950
   404   0.0544   0.0950
   405   0.0544   0.0950
   406   0.0544   0.0949
   407   0.0544   0.0949
   408   0.0544   0.0950
   409   0.0544   0.0950
   410   0.0544   0.0950
   411   0.0544   0.0950
   412   0.0544   0.0950
   413   0.0544   0.0949
   414   0.0544   0.0949
   415   0.0544   0.0949
   416   0.0544   0.0949
   417   0.0544   0.0949
   418   0.0544   0.0949
   419   0.0544   0.0949
   420   0.0544   0.0949
   421   0.0544   0.0949
   422   0.0544   0.0949
   423   0.0544   0.0949
   424   0.0544   0.0949
   425   0.0544   0.0949
   426   0.0544   0.0949
   427   0.0544   0.0949
