#     it    Ltra    Lval
   246   0.0965   0.0556
   247   0.0965   0.0562
   248   0.0965   0.0565
   249   0.0965   0.0563
   250   0.0965   0.0562
   251   0.0965   0.0561
   252   0.0965   0.0563
   253   0.0964   0.0544
   254   0.0964   0.0550
   255   0.0964   0.0550
   256   0.0964   0.0552
   257   0.0964   0.0554
   258   0.0964   0.0554
   259   0.0964   0.0554
   260   0.0964   0.0552
   261   0.0964   0.0550
   262   0.0964   0.0541
   263   0.0964   0.0543
   264   0.0964   0.0535
   265   0.0964   0.0537
   266   0.0964   0.0538
   267   0.0963   0.0537
   268   0.0963   0.0538
   269   0.0963   0.0537
   270   0.0963   0.0535
   271   0.0963   0.0541
   272   0.0963   0.0542
   273   0.0962   0.0529
   274   0.0962   0.0533
   275   0.0962   0.0532
   276   0.0962   0.0531
   277   0.0962   0.0531
   278   0.0962   0.0531
   279   0.0961   0.0531
   280   0.0961   0.0527
   281   0.0961   0.0528
   282   0.0961   0.0529
   283   0.0961   0.0531
   284   0.0961   0.0538
   285   0.0961   0.0535
   286   0.0960   0.0532
   287   0.0960   0.0530
   288   0.0960   0.0533
   289   0.0960   0.0529
   290   0.0960   0.0530
   291   0.0960   0.0530
   292   0.0960   0.0524
   293   0.0960   0.0522
   294   0.0959   0.0522
   295   0.0959   0.0523
   296   0.0959   0.0525
   297   0.0959   0.0526
   298   0.0959   0.0523
   299   0.0959   0.0525
   300   0.0958   0.0520
   301   0.0958   0.0520
   302   0.0958   0.0517
   303   0.0958   0.0519
   304   0.0958   0.0523
   305   0.0958   0.0529
   306   0.0958   0.0532
   307   0.0958   0.0534
   308   0.0958   0.0523
   309   0.0958   0.0523
   310   0.0958   0.0521
   311   0.0957   0.0519
   312   0.0957   0.0517
   313   0.0957   0.0517
   314   0.0957   0.0512
   315   0.0957   0.0517
   316   0.0957   0.0519
   317   0.0957   0.0519
   318   0.0957   0.0516
   319   0.0957   0.0516
   320   0.0957   0.0514
   321   0.0957   0.0512
   322   0.0957   0.0511
   323   0.0957   0.0512
   324   0.0957   0.0519
   325   0.0957   0.0518
   326   0.0957   0.0517
   327   0.0957   0.0520
   328   0.0957   0.0524
   329   0.0957   0.0523
   330   0.0957   0.0523
   331   0.0956   0.0523
   332   0.0956   0.0524
   333   0.0956   0.0527
   334   0.0956   0.0526
   335   0.0956   0.0523
   336   0.0956   0.0522
   337   0.0956   0.0524
   338   0.0956   0.0522
   339   0.0956   0.0523
   340   0.0956   0.0526
   341   0.0956   0.0523
   342   0.0956   0.0522
   343   0.0956   0.0520
   344   0.0956   0.0522
   345   0.0955   0.0528
   346   0.0955   0.0532
   347   0.0955   0.0529
   348   0.0955   0.0530
   349   0.0955   0.0529
   350   0.0955   0.0524
   351   0.0955   0.0522
   352   0.0955   0.0521
   353   0.0955   0.0524
   354   0.0954   0.0528
   355   0.0954   0.0529
   356   0.0954   0.0525
   357   0.0954   0.0521
   358   0.0954   0.0524
   359   0.0954   0.0528
   360   0.0954   0.0531
   361   0.0954   0.0532
   362   0.0954   0.0525
   363   0.0953   0.0511
   364   0.0953   0.0518
   365   0.0953   0.0518
   366   0.0953   0.0517
   367   0.0953   0.0515
   368   0.0953   0.0513
   369   0.0953   0.0513
   370   0.0953   0.0509
   371   0.0953   0.0513
   372   0.0953   0.0517
   373   0.0953   0.0523
   374   0.0953   0.0524
   375   0.0953   0.0530
   376   0.0953   0.0528
   377   0.0953   0.0525
   378   0.0953   0.0523
   379   0.0952   0.0520
   380   0.0952   0.0519
   381   0.0952   0.0520
   382   0.0952   0.0518
   383   0.0952   0.0512
   384   0.0952   0.0517
   385   0.0952   0.0519
   386   0.0952   0.0521
   387   0.0952   0.0518
   388   0.0951   0.0516
   389   0.0951   0.0518
   390   0.0951   0.0517
   391   0.0951   0.0513
   392   0.0951   0.0511
   393   0.0951   0.0510
   394   0.0951   0.0509
   395   0.0951   0.0513
   396   0.0951   0.0516
   397   0.0950   0.0515
   398   0.0950   0.0516
   399   0.0950   0.0510
   400   0.0950   0.0511
   401   0.0950   0.0511
   402   0.0950   0.0516
   403   0.0950   0.0516
   404   0.0950   0.0520
   405   0.0950   0.0515
   406   0.0950   0.0521
   407   0.0950   0.0521
   408   0.0950   0.0517
   409   0.0950   0.0517
   410   0.0950   0.0518
   411   0.0949   0.0516
   412   0.0949   0.0514
   413   0.0949   0.0517
   414   0.0949   0.0512
   415   0.0949   0.0512
   416   0.0949   0.0517
   417   0.0949   0.0516
   418   0.0949   0.0516
   419   0.0949   0.0515
   420   0.0949   0.0522
   421   0.0949   0.0512
   422   0.0948   0.0515
   423   0.0948   0.0518
   424   0.0948   0.0517
   425   0.0948   0.0518
   426   0.0948   0.0518
   427   0.0948   0.0520
   428   0.0948   0.0520
   429   0.0948   0.0521
   430   0.0948   0.0518
   431   0.0948   0.0516
   432   0.0948   0.0515
   433   0.0948   0.0512
   434   0.0948   0.0515
   435   0.0948   0.0514
   436   0.0948   0.0511
   437   0.0948   0.0512
   438   0.0948   0.0512
   439   0.0948   0.0512
   440   0.0948   0.0513
   441   0.0948   0.0512
   442   0.0948   0.0512
   443   0.0948   0.0516
   444   0.0947   0.0514
