#     it    Ltra    Lval
   246   0.0950   0.0482
   247   0.0950   0.0484
   248   0.0950   0.0483
   249   0.0950   0.0483
   250   0.0950   0.0482
   251   0.0950   0.0482
   252   0.0950   0.0482
   253   0.0950   0.0484
   254   0.0950   0.0483
   255   0.0950   0.0483
   256   0.0950   0.0482
   257   0.0950   0.0482
   258   0.0950   0.0483
   259   0.0950   0.0482
   260   0.0950   0.0484
   261   0.0950   0.0485
   262   0.0950   0.0485
   263   0.0950   0.0484
   264   0.0950   0.0483
   265   0.0950   0.0483
   266   0.0950   0.0483
   267   0.0950   0.0484
   268   0.0950   0.0484
   269   0.0950   0.0484
   270   0.0950   0.0483
   271   0.0950   0.0484
   272   0.0950   0.0482
   273   0.0950   0.0482
   274   0.0950   0.0484
   275   0.0950   0.0484
   276   0.0950   0.0484
   277   0.0950   0.0484
   278   0.0950   0.0484
   279   0.0950   0.0483
   280   0.0950   0.0483
   281   0.0950   0.0483
   282   0.0950   0.0483
   283   0.0950   0.0484
   284   0.0949   0.0484
   285   0.0949   0.0483
   286   0.0949   0.0483
   287   0.0949   0.0484
   288   0.0949   0.0484
   289   0.0949   0.0484
   290   0.0949   0.0485
   291   0.0949   0.0485
   292   0.0949   0.0485
   293   0.0949   0.0486
   294   0.0949   0.0486
   295   0.0949   0.0487
   296   0.0949   0.0487
   297   0.0949   0.0487
   298   0.0949   0.0486
   299   0.0949   0.0487
   300   0.0949   0.0486
   301   0.0949   0.0486
   302   0.0949   0.0487
   303   0.0949   0.0487
   304   0.0949   0.0487
   305   0.0949   0.0488
   306   0.0949   0.0486
   307   0.0949   0.0487
   308   0.0949   0.0487
   309   0.0949   0.0487
   310   0.0949   0.0487
   311   0.0949   0.0486
   312   0.0949   0.0486
   313   0.0949   0.0486
   314   0.0949   0.0486
   315   0.0949   0.0487
   316   0.0949   0.0488
   317   0.0949   0.0488
   318   0.0949   0.0488
   319   0.0949   0.0488
   320   0.0949   0.0487
   321   0.0949   0.0488
   322   0.0949   0.0488
   323   0.0949   0.0488
   324   0.0949   0.0489
   325   0.0949   0.0488
   326   0.0949   0.0489
   327   0.0949   0.0489
   328   0.0949   0.0488
   329   0.0949   0.0488
   330   0.0949   0.0488
   331   0.0949   0.0489
   332   0.0949   0.0489
   333   0.0949   0.0489
   334   0.0949   0.0489
   335   0.0949   0.0489
   336   0.0949   0.0489
   337   0.0949   0.0489
   338   0.0949   0.0488
   339   0.0949   0.0489
   340   0.0949   0.0489
   341   0.0949   0.0489
   342   0.0949   0.0489
   343   0.0949   0.0489
   344   0.0949   0.0489
   345   0.0949   0.0489
   346   0.0949   0.0491
   347   0.0949   0.0491
   348   0.0949   0.0493
   349   0.0949   0.0493
   350   0.0949   0.0490
   351   0.0949   0.0491
   352   0.0949   0.0492
   353   0.0949   0.0492
   354   0.0949   0.0491
   355   0.0949   0.0491
   356   0.0949   0.0491
   357   0.0949   0.0491
   358   0.0949   0.0493
   359   0.0949   0.0493
   360   0.0949   0.0493
   361   0.0949   0.0494
   362   0.0949   0.0494
   363   0.0949   0.0491
   364   0.0949   0.0492
   365   0.0949   0.0492
   366   0.0949   0.0492
   367   0.0949   0.0492
   368   0.0949   0.0492
   369   0.0949   0.0492
   370   0.0949   0.0492
   371   0.0949   0.0492
   372   0.0949   0.0490
   373   0.0949   0.0491
   374   0.0949   0.0492
   375   0.0949   0.0492
   376   0.0949   0.0493
   377   0.0949   0.0492
   378   0.0949   0.0491
   379   0.0949   0.0491
   380   0.0949   0.0491
   381   0.0949   0.0491
   382   0.0949   0.0491
   383   0.0949   0.0490
   384   0.0949   0.0492
   385   0.0949   0.0492
   386   0.0949   0.0492
   387   0.0949   0.0492
   388   0.0949   0.0491
   389   0.0949   0.0491
   390   0.0949   0.0491
   391   0.0949   0.0491
   392   0.0949   0.0491
   393   0.0949   0.0491
   394   0.0949   0.0490
   395   0.0949   0.0489
   396   0.0949   0.0490
   397   0.0949   0.0490
   398   0.0949   0.0490
   399   0.0949   0.0490
   400   0.0949   0.0491
   401   0.0949   0.0491
   402   0.0949   0.0491
   403   0.0949   0.0491
   404   0.0949   0.0490
   405   0.0949   0.0490
   406   0.0949   0.0490
   407   0.0949   0.0491
   408   0.0949   0.0491
   409   0.0949   0.0491
   410   0.0949   0.0491
   411   0.0949   0.0490
   412   0.0949   0.0491
   413   0.0949   0.0491
   414   0.0949   0.0491
   415   0.0949   0.0491
   416   0.0949   0.0491
   417   0.0949   0.0491
   418   0.0949   0.0491
   419   0.0949   0.0491
   420   0.0949   0.0491
   421   0.0949   0.0491
   422   0.0949   0.0491
   423   0.0949   0.0491
   424   0.0949   0.0491
   425   0.0949   0.0491
   426   0.0949   0.0491
   427   0.0949   0.0491
   428   0.0949   0.0491
   429   0.0949   0.0492
   430   0.0949   0.0492
   431   0.0949   0.0492
   432   0.0949   0.0492
   433   0.0949   0.0492
   434   0.0949   0.0491
   435   0.0949   0.0491
   436   0.0949   0.0492
   437   0.0949   0.0492
   438   0.0949   0.0492
   439   0.0949   0.0492
   440   0.0949   0.0492
   441   0.0949   0.0492
   442   0.0949   0.0492
   443   0.0949   0.0491
   444   0.0949   0.0492
   445   0.0949   0.0491
   446   0.0949   0.0492
   447   0.0949   0.0492
   448   0.0949   0.0492
   449   0.0949   0.0492
   450   0.0949   0.0492
   451   0.0949   0.0492
   452   0.0949   0.0492
   453   0.0949   0.0492
   454   0.0949   0.0492
   455   0.0949   0.0492
   456   0.0949   0.0492
   457   0.0949   0.0492
   458   0.0949   0.0492
