#     it    Ltra    Lval
   246   0.0076   0.0107
   247   0.0076   0.0107
   248   0.0076   0.0107
   249   0.0076   0.0107
   250   0.0076   0.0107
   251   0.0076   0.0107
   252   0.0076   0.0106
   253   0.0075   0.0103
   254   0.0075   0.0102
   255   0.0075   0.0101
   256   0.0075   0.0102
   257   0.0075   0.0102
   258   0.0075   0.0102
   259   0.0075   0.0103
   260   0.0075   0.0103
   261   0.0075   0.0103
   262   0.0075   0.0103
   263   0.0075   0.0104
   264   0.0075   0.0105
   265   0.0075   0.0106
   266   0.0075   0.0107
   267   0.0075   0.0108
   268   0.0075   0.0107
   269   0.0075   0.0107
   270   0.0075   0.0108
   271   0.0075   0.0109
   272   0.0074   0.0111
   273   0.0074   0.0112
   274   0.0074   0.0113
   275   0.0074   0.0114
   276   0.0074   0.0113
   277   0.0074   0.0112
   278   0.0074   0.0112
   279   0.0074   0.0111
   280   0.0074   0.0111
   281   0.0074   0.0112
   282   0.0074   0.0113
   283   0.0074   0.0113
   284   0.0074   0.0113
   285   0.0074   0.0114
   286   0.0074   0.0114
   287   0.0074   0.0114
   288   0.0074   0.0116
   289   0.0074   0.0115
   290   0.0074   0.0114
   291   0.0074   0.0114
   292   0.0074   0.0115
   293   0.0074   0.0116
   294   0.0074   0.0116
   295   0.0074   0.0116
   296   0.0074   0.0116
   297   0.0074   0.0116
   298   0.0074   0.0117
   299   0.0074   0.0117
   300   0.0074   0.0117
   301   0.0074   0.0117
   302   0.0074   0.0117
   303   0.0074   0.0117
   304   0.0073   0.0117
   305   0.0073   0.0117
   306   0.0073   0.0116
   307   0.0073   0.0114
   308   0.0073   0.0113
   309   0.0073   0.0111
   310   0.0073   0.0108
   311   0.0073   0.0106
   312   0.0073   0.0105
   313   0.0073   0.0105
   314   0.0073   0.0105
   315   0.0073   0.0104
   316   0.0073   0.0103
   317   0.0073   0.0104
   318   0.0073   0.0105
   319   0.0073   0.0105
   320   0.0073   0.0106
   321   0.0073   0.0106
   322   0.0073   0.0106
   323   0.0073   0.0107
   324   0.0073   0.0107
   325   0.0073   0.0108
   326   0.0073   0.0107
   327   0.0072   0.0108
   328   0.0072   0.0106
   329   0.0072   0.0105
   330   0.0072   0.0104
   331   0.0072   0.0104
   332   0.0072   0.0104
   333   0.0072   0.0105
   334   0.0072   0.0105
   335   0.0072   0.0105
   336   0.0072   0.0106
   337   0.0072   0.0107
   338   0.0072   0.0107
   339   0.0072   0.0110
   340   0.0072   0.0110
   341   0.0072   0.0109
   342   0.0072   0.0109
   343   0.0072   0.0109
   344   0.0072   0.0110
   345   0.0072   0.0110
   346   0.0072   0.0110
   347   0.0072   0.0108
   348   0.0072   0.0108
   349   0.0071   0.0109
   350   0.0071   0.0109
   351   0.0071   0.0110
   352   0.0071   0.0109
   353   0.0071   0.0109
   354   0.0071   0.0109
   355   0.0071   0.0109
   356   0.0071   0.0109
   357   0.0071   0.0108
   358   0.0071   0.0109
   359   0.0071   0.0111
   360   0.0071   0.0110
   361   0.0071   0.0110
   362   0.0071   0.0110
   363   0.0071   0.0110
   364   0.0071   0.0110
   365   0.0071   0.0110
   366   0.0071   0.0110
   367   0.0071   0.0110
   368   0.0071   0.0109
   369   0.0071   0.0109
   370   0.0071   0.0109
   371   0.0071   0.0109
   372   0.0071   0.0109
