originID,jobID,cores,memory,CPU time,time,Npoints,nT,Nwout,nE,nM,nL,nx,Nparams,optimizer,Nepochs,Ncev/w,Ncev,grad,shuffle,stepsize,Nshots,RMSE tra,RMSE val,RMSE tes,RMSE ftes
13244,13324,54,8.38 GB (estimated maximum),32-03:36:01,20:35:23,1000,20,5,2,3,5,3,65,Adam,638,,,False,True,0.001,10000,0.04813573339629635,0.05479079996769174,0.04279262748615059,0.054021016992203914
13244,13325,54,8.42 GB (estimated maximum),32-05:41:28,20:55:39,1000,20,5,2,3,5,3,65,Adam,418,,,False,True,0.001,10000,0.049404319248046245,0.05194617517856192,0.04259085350077503,0.053703045081767584
13244,13326,54,8.24 GB (estimated maximum),32-01:33:19,20:37:24,1000,20,5,2,3,5,3,65,Adam,353,,,False,True,0.001,10000,0.05020384258189477,0.05265576911432548,0.044154704893169715,0.05328389228084928
13244,13327,54,8.37 GB (estimated maximum),32-04:26:37,20:57:33,1000,20,5,2,3,5,3,65,Adam,346,,,False,True,0.001,10000,0.05174643978028034,0.05253401389623474,0.04618336584773319,0.05314162841774777
13244,13427,54,8.12 GB (estimated maximum),32-05:47:34,20:46:39,1000,20,5,2,3,5,3,65,Adam,388,,,False,True,0.001,10000,0.04846702238574229,0.053276041425433296,0.04206533948120586,0.05341996612806473
13244,13428,54,8.42 GB (estimated maximum),32-02:46:50,21:15:39,1000,20,5,2,3,5,3,65,Adam,419,,,False,True,0.001,10000,0.04822885026824469,0.05420144307274192,0.04061510876037427,0.05164404826573298
13244,13430,54,8.40 GB (estimated maximum),32-04:17:21,20:52:23,1000,20,5,2,3,5,3,65,Adam,400,,,False,True,0.001,10000,0.048610000512656265,0.05165417801216236,0.04093468924791429,0.052113729722484826
13244,13432,54,8.28 GB (estimated maximum),32-04:25:28,20:43:58,1000,20,5,2,3,5,3,65,Adam,381,,,False,True,0.001,10000,0.049658391782509644,0.05387154687133098,0.04392414113744199,0.05235781949177919
